param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
NUM_SENSORS,16,MQTT Baseline QoS1,49.8807,0.528,32.3041,1.0436,26.25,0.6329,0.5517,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47823.7,517.4716,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.1053,0.0002
NUM_SENSORS,16,MQTT S&F QoS0,16.3954,0.1206,10.3996,0.2279,7.37,0.1547,1.0814,0.0823,0.7474,0.0213,1.4213,0.019,7467.6,211.8385,8275.1,169.3211,47.4273,1.1554,15742.7,120.9708,22330.3,410.4243,467.7,98.1393,2.4485,0.0352,534.9053,0.0,3209.4488,0.0012
NUM_SENSORS,16,MQTT S&F QoS1,54.2802,0.5586,21.9607,0.4931,19.76,0.3755,1.1792,0.028,0.6924,0.0289,1.384,0.0279,26063.6,654.6435,26052.7,728.5302,50.0151,1.2083,52116.3,554.2939,67818.5,2010.8914,1184.9,173.4933,2.3239,0.0357,534.9053,0.0,3209.4932,0.0016
NUM_SENSORS,16,Vanilla DDS BE,16.0214,0.1074,20.8828,0.6027,13.5208,0.4906,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15399.4,107.9481,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
NUM_SENSORS,16,Vanilla DDS Rel,50.2406,0.5279,31.6303,0.9138,25.7907,0.5847,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48250.1,537.904,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
NUM_SENSORS,16,DDS S&F BE,16.3743,0.1371,10.4152,0.3876,7.36,0.3778,1.1153,0.0716,0.7358,0.0232,1.4036,0.0291,7491.6,214.7633,8244.9,126.9975,47.5919,1.0474,15736.5,134.8149,22727.5,493.4377,529.3,56.9526,2.4781,0.0333,534.9053,0.0,3209.4493,0.0011
NUM_SENSORS,16,DDS S&F Rel,54.1188,0.4664,22.5404,0.4426,20.11,0.4106,0.7691,0.0325,0.6576,0.0177,1.3795,0.0224,27211.4,681.7124,24787.7,532.271,52.3231,1.0895,51999.1,449.5225,62818.2,1290.1472,1049.8,206.7783,2.2286,0.0304,534.9053,0.0,3209.4717,0.0015
NUM_SENSORS,32,MQTT Baseline QoS0,15.799,0.0913,20.2003,0.8638,12.55,0.5253,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30333.7,177.9928,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0864,0.0
NUM_SENSORS,32,MQTT Baseline QoS1,40.7992,0.5167,31.0285,0.5022,24.47,0.3306,0.6132,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78239.0,1008.9666,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.1269,0.0004
NUM_SENSORS,32,MQTT S&F QoS0,16.1132,0.0627,10.1856,0.3268,7.01,0.2116,0.8565,0.0314,0.7115,0.0272,1.4128,0.0229,15358.5,437.3952,15561.2,396.5315,49.668,1.3442,30919.7,97.699,42324.8,1074.8401,999.9,232.5688,2.4014,0.0422,534.9053,0.0,3209.4582,0.0009
