param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
AREA_SIZE,1000,DDS S&F BE,7.6373,0.1126,28.2517,1.2388,22.81,1.2367,1.59,0.1146,0.6686,0.0253,1.3285,0.0255,2279.8,78.6233,2309.1,79.4661,49.6818,1.5088,4588.9,73.6996,7086.0,217.811,127.4,31.9255,2.5718,0.0328,534.9053,0.0,3209.4391,0.0005
AREA_SIZE,1000,DDS S&F Rel,30.8382,0.3881,44.4708,1.8361,38.1,1.2736,0.7879,0.0546,0.5748,0.0344,1.3006,0.0206,10323.8,430.442,8158.1,404.157,55.8539,2.1812,18481.9,242.0137,24055.7,958.3899,302.3,100.5068,2.318,0.0532,534.9053,0.0,3209.4463,0.001
AREA_SIZE,1250,MQTT Baseline QoS0,4.3885,0.1221,97.8395,7.7043,65.56,3.9336,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2633.8,75.2859,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0795,0.0
AREA_SIZE,1250,MQTT Baseline QoS1,17.3141,0.6397,104.2583,6.382,76.79,3.4094,0.5463,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10378.8,393.1904,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0846,0.0002
AREA_SIZE,1250,MQTT S&F QoS0,4.5248,0.1883,52.0973,3.0355,42.305,1.8589,1.3725,0.169,0.6401,0.051,1.3282,0.0539,1409.2,98.7605,1303.9,82.6044,51.8961,2.7867,2713.1,112.375,4160.3,313.2745,76.5,33.2177,2.5617,0.1057,534.9053,0.0,3209.4355,0.0005
AREA_SIZE,1250,MQTT S&F QoS1,19.5084,0.3807,68.258,3.1409,58.495,1.8561,1.2608,0.0514,0.5842,0.0416,1.2902,0.0472,6407.6,315.3464,5282.6,270.3839,54.795,2.2463,11690.2,224.5222,16484.6,923.4765,252.3,77.3057,2.4318,0.0774,534.9053,0.0,3209.4465,0.0006
AREA_SIZE,1250,Vanilla DDS BE,4.4205,0.1358,98.8384,11.2089,67.2058,5.9465,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656.4,80.1687,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
AREA_SIZE,1250,Vanilla DDS Rel,17.1419,0.4328,110.3264,5.9545,80.3707,5.4618,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288.9,253.4599,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
AREA_SIZE,1250,DDS S&F BE,4.4157,0.1617,50.2531,3.3215,42.245,4.0675,1.5605,0.176,0.618,0.0414,1.3117,0.038,1399.6,58.4996,1246.4,83.7563,52.9668,2.0911,2646.0,98.1954,4028.7,291.7933,88.3,44.4718,2.5546,0.0912,534.9053,0.0,3209.4359,0.0004
AREA_SIZE,1250,DDS S&F Rel,18.8411,0.6762,73.7776,2.6905,61.495,1.8144,0.8356,0.0788,0.5481,0.0399,1.2725,0.0281,6446.9,413.5955,4850.0,267.454,57.0023,2.4532,11296.9,395.3726,15040.8,662.7209,179.7,72.8448,2.3497,0.0626,534.9053,0.0,3209.4412,0.0007
AREA_SIZE,1500,MQTT Baseline QoS0,2.7703,0.2149,150.7616,14.1043,111.33,9.011,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1662.8,129.3025,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0793,0.0
AREA_SIZE,1500,MQTT Baseline QoS1,11.4812,0.49,153.925,9.6897,106.59,6.0199,0.5528,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6881.4,286.1687,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0827,0.0001
AREA_SIZE,1500,MQTT S&F QoS0,2.9958,0.1466,78.076,5.4322,65.17,6.1484,1.4155,0.0719,0.6228,0.0495,1.2817,0.0449,921.9,64.2539,874.0,85.2208,51.4586,3.2161,1795.9,88.1828,2791.9,246.0756,68.7,43.1725,2.589,0.1013,534.9053,0.0,3209.4343,0.0002
AREA_SIZE,1500,MQTT S&F QoS1,12.9701,0.692,101.5525,8.2576,84.465,4.8541,1.2416,0.0709,0.5677,0.0472,1.2742,0.041,4330.4,360.702,3458.3,263.2372,55.52,2.8769,7788.7,415.8608,10763.7,1043.3567,126.2,75.2989,2.3944,0.0923,534.9053,0.0,3209.4414,0.0008
AREA_SIZE,1500,Vanilla DDS BE,2.9349,0.1434,137.1404,13.5076,99.4056,8.8249,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.0,84.6968,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
AREA_SIZE,1500,Vanilla DDS Rel,11.0399,0.5439,161.4408,13.5188,118.2506,8.442,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6625.6,334.0471,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
AREA_SIZE,1500,DDS S&F BE,2.9762,0.1632,77.6825,3.2927,64.325,3.1365,1.6646,0.2386,0.5951,0.0407,1.2636,0.055,944.3,71.7371,841.8,67.6582,52.8683,2.7636,1786.1,99.4851,2819.0,208.8101,63.6,24.8287,2.6138,0.0904,534.9053,0.0,3209.4347,0.0004
AREA_SIZE,1500,DDS S&F Rel,12.7836,0.3551,107.3127,10.9621,87.15,9.0162,0.7939,0.0704,0.5438,0.0451,1.2583,0.0397,4367.2,314.0533,3302.5,207.321,56.8442,3.0682,7669.7,211.6062,10251.9,401.9117,140.9,47.0504,2.358,0.069,534.9053,0.0,3209.4379,0.0006
